navigation,pid,tid,jid,distance,n_interactions,time_ms
swipe,EFUE02,1,2,-2,2,2387
swipe,EFUE02,1,3,-3,3,3209
swipe,EFUE02,1,4,2,2,2629
swipe,EFUE02,2,0,-4,4,6234
swipe,EFUE02,2,1,5,11,8520
swipe,EFUE02,2,2,5,5,5327
swipe,EFUE02,2,3,6,6,5747
swipe,EFUE02,2,4,-5,5,5284
swipe,EFUE02,3,0,9,9,9326
swipe,EFUE02,3,1,8,8,6329
swipe,EFUE02,3,2,-7,9,8465
swipe,EFUE02,3,3,-8,8,6558
swipe,EFUE02,3,4,-8,8,6864
swipe,EFUE02,4,0,-11,11,9446
swipe,EFUE02,4,1,-11,11,7476
swipe,EFUE02,4,2,10,10,6272
swipe,EFUE02,4,3,-12,12,7091
swipe,EFUE02,4,4,11,11,6365
swipe,EFUE02,5,0,14,14,10516
swipe,EFUE02,5,1,-15,15,8818
swipe,EFUE02,5,2,-14,14,9154
swipe,EFUE02,5,3,13,13,11089
swipe,EFUE02,5,4,-14,14,8289
swipe,10H3QLJ,0,0,-5,10,19798
swipe,10H3QLJ,0,1,5,5,8931
swipe,10H3QLJ,0,2,5,5,3806
swipe,10H3QLJ,0,3,-5,5,3579
swipe,10H3QLJ,0,4,-5,7,4780
swipe,10H3QLJ,1,0,2,2,3074
swipe,10H3QLJ,1,1,-1,1,1513
swipe,10H3QLJ,1,2,-2,2,1739
swipe,10H3QLJ,1,3,-3,3,1837
swipe,10H3QLJ,1,4,2,2,1546
swipe,10H3QLJ,2,0,-4,4,4301
swipe,10H3QLJ,2,1,5,5,2528
swipe,10H3QLJ,2,2,5,5,3274
swipe,10H3QLJ,2,3,6,6,2739
swipe,10H3QLJ,2,4,-5,5,3864
swipe,10H3QLJ,3,0,9,9,4410
swipe,10H3QLJ,3,1,8,8,3146
swipe,10H3QLJ,3,2,-7,7,3242
swipe,10H3QLJ,3,3,-8,10,5210
swipe,10H3QLJ,3,4,-8,8,3491
swipe,10H3QLJ,4,0,-11,11,5389
swipe,10H3QLJ,4,1,-11,11,4599
swipe,10H3QLJ,4,2,10,10,3622
swipe,10H3QLJ,4,3,-12,12,4993
swipe,10H3QLJ,4,4,11,11,3770
swipe,10H3QLJ,5,0,14,14,7632
swipe,10H3QLJ,5,1,-15,15,8153
swipe,10H3QLJ,5,2,-14,14,6973
swipe,10H3QLJ,5,3,13,13,4570
swipe,10H3QLJ,5,4,-14,14,7261
burger,D9SBMV,0,0,-5,2,18299
burger,D9SBMV,0,1,5,1,5001
burger,D9SBMV,0,2,5,1,3864
burger,D9SBMV,0,3,-5,1,5314
burger,D9SBMV,0,4,-5,1,3504
burger,D9SBMV,1,0,2,1,6101
burger,D9SBMV,1,1,-1,1,3297
burger,D9SBMV,1,2,-2,1,2907
burger,D9SBMV,1,3,-3,1,2885
burger,D9SBMV,1,4,2,1,3242
burger,D9SBMV,2,0,-4,1,4278
burger,D9SBMV,2,1,5,1,3383
burger,D9SBMV,2,2,5,1,3079
burger,D9SBMV,2,3,6,1,3394
burger,D9SBMV,2,4,-5,1,3642
burger,D9SBMV,3,0,9,1,4772
burger,D9SBMV,3,1,8,1,3423
burger,D9SBMV,3,2,-7,1,3197
burger,D9SBMV,3,3,-8,1,3371
burger,D9SBMV,3,4,-8,1,3339
burger,D9SBMV,4,0,-11,1,6261
burger,D9SBMV,4,1,-11,1,3718
burger,D9SBMV,4,2,10,1,3262
burger,D9SBMV,4,3,-12,1,3309
burger,D9SBMV,4,4,11,1,2911
burger,D9SBMV,5,0,14,1,5658
burger,D9SBMV,5,1,-15,1,4110
burger,D9SBMV,5,2,-14,1,4186
burger,D9SBMV,5,3,13,1,3762
burger,D9SBMV,5,4,-14,1,3969
swipe,19RBRJM,0,0,-5,8,18677
swipe,19RBRJM,0,1,5,5,6632
swipe,19RBRJM,0,2,5,5,5786
swipe,19RBRJM,0,3,-5,5,4010
swipe,19RBRJM,0,4,-5,5,4018
swipe,19RBRJM,1,0,2,2,4159
swipe,19RBRJM,1,1,-1,1,1786
swipe,19RBRJM,1,2,-2,2,2181
swipe,19RBRJM,1,3,-3,3,3146
swipe,19RBRJM,1,4,2,2,2244
swipe,19RBRJM,2,0,-4,4,3997
swipe,19RBRJM,2,1,5,5,3455
swipe,19RBRJM,2,2,5,5,3325
swipe,19RBRJM,2,3,6,6,4463
swipe,19RBRJM,2,4,-5,5,2946
swipe,19RBRJM,3,0,9,9,5690
swipe,19RBRJM,3,1,8,10,4006
swipe,19RBRJM,3,2,-7,9,3877
swipe,19RBRJM,3,3,-8,8,3573
swipe,19RBRJM,3,4,-8,8,4038
swipe,19RBRJM,4,0,-11,11,7401
swipe,19RBRJM,4,1,-11,11,5250
swipe,19RBRJM,4,2,10,10,4690
swipe,19RBRJM,4,3,-12,14,5436
swipe,19RBRJM,4,4,11,11,3812
swipe,19RBRJM,5,0,14,16,7057
swipe,19RBRJM,5,1,-15,15,6769
swipe,19RBRJM,5,2,-14,14,7006
swipe,19RBRJM,5,3,13,13,5033
swipe,19RBRJM,5,4,-14,14,4916
swipe,1TB4NLH,0,0,-5,8,14709
swipe,1TB4NLH,0,1,5,5,4614
swipe,1TB4NLH,0,2,5,5,4269
swipe,1TB4NLH,0,3,-5,5,4082
swipe,1TB4NLH,0,4,-5,5,4232
swipe,1TB4NLH,1,0,2,2,2889
swipe,1TB4NLH,1,1,-1,1,1871
swipe,1TB4NLH,1,2,-2,2,2135
swipe,1TB4NLH,1,3,-3,3,2989
swipe,1TB4NLH,1,4,2,2,2087
swipe,1TB4NLH,2,0,-4,4,4665
swipe,1TB4NLH,2,1,5,5,3067
swipe,1TB4NLH,2,2,5,5,3346
swipe,1TB4NLH,2,3,6,6,3266
swipe,1TB4NLH,2,4,-5,7,3817
swipe,1TB4NLH,3,0,9,11,5587
swipe,1TB4NLH,3,1,8,8,3661
swipe,1TB4NLH,3,2,-7,7,3395
swipe,1TB4NLH,3,3,-8,8,4629
swipe,1TB4NLH,3,4,-8,8,4713
swipe,1TB4NLH,4,0,-11,11,7824
swipe,1TB4NLH,4,1,-11,11,5825
swipe,1TB4NLH,4,2,10,10,4971
swipe,1TB4NLH,4,3,-12,12,4689
swipe,1TB4NLH,4,4,11,11,4229
swipe,1TB4NLH,5,0,14,14,6503
swipe,1TB4NLH,5,1,-15,15,5411
swipe,1TB4NLH,5,2,-14,14,5636
swipe,1TB4NLH,5,3,13,13,5556
swipe,1TB4NLH,5,4,-14,14,5359
burger,3D9VNFN,0,0,-5,2,16559
burger,3D9VNFN,0,1,5,1,5574
burger,3D9VNFN,0,2,5,1,4593
burger,3D9VNFN,0,3,-5,1,5481
burger,3D9VNFN,0,4,-5,1,3524
burger,3D9VNFN,1,0,2,1,4557
burger,3D9VNFN,1,1,-1,1,3423
burger,3D9VNFN,1,2,-2,1,3397
burger,3D9VNFN,1,3,-3,1,3175
burger,3D9VNFN,1,4,2,1,3289
burger,3D9VNFN,2,0,-4,1,4401
burger,3D9VNFN,2,1,5,1,3279
burger,3D9VNFN,2,2,5,1,3310
burger,3D9VNFN,2,3,6,1,3453
burger,3D9VNFN,2,4,-5,1,3687
burger,3D9VNFN,3,0,9,1,5300
burger,3D9VNFN,3,1,8,1,3734
burger,3D9VNFN,3,2,-7,1,3775
burger,3D9VNFN,3,3,-8,1,3690
burger,3D9VNFN,3,4,-8,1,3960
burger,3D9VNFN,4,0,-11,1,6303
burger,3D9VNFN,4,1,-11,1,3321
burger,3D9VNFN,4,2,10,1,5052
burger,3D9VNFN,4,3,-12,1,3353
burger,3D9VNFN,4,4,11,1,3701
burger,3D9VNFN,5,0,14,1,5302
burger,3D9VNFN,5,1,-15,1,4781
burger,3D9VNFN,5,2,-14,1,4186
burger,3D9VNFN,5,3,13,1,3668
burger,3D9VNFN,5,4,-14,1,4262
burger,3348IDB,0,0,-5,2,11061
burger,3348IDB,0,1,5,1,6085
burger,3348IDB,0,2,5,1,4675
burger,3348IDB,0,3,-5,1,4742
burger,3348IDB,0,4,-5,1,3597
burger,3348IDB,1,0,2,1,7232
burger,3348IDB,1,1,-1,1,3917
burger,3348IDB,1,2,-2,1,5865
burger,3348IDB,1,3,-3,1,3452
burger,3348IDB,1,4,2,1,3648
burger,3348IDB,2,0,-4,1,5123
burger,3348IDB,2,1,5,1,3419
burger,3348IDB,2,2,5,1,4074
burger,3348IDB,2,3,6,1,5010
burger,3348IDB,2,4,-5,1,3921
burger,3348IDB,3,0,9,1,6329
burger,3348IDB,3,1,8,1,5074
burger,3348IDB,3,2,-7,1,5152
burger,3348IDB,3,3,-8,1,4923
burger,3348IDB,3,4,-8,1,4046
burger,3348IDB,4,0,-11,1,5436
burger,3348IDB,4,1,-11,1,4371
burger,3348IDB,4,2,10,1,3416
burger,3348IDB,4,3,-12,1,4536
burger,3348IDB,4,4,11,1,12097
burger,3348IDB,5,0,14,1,6946
burger,3348IDB,5,1,-15,1,4571
burger,3348IDB,5,2,-14,1,4160
burger,3348IDB,5,3,13,1,6506
burger,3348IDB,5,4,-14,1,5084
burger,2NCTIET,0,0,-5,2,24086
burger,2NCTIET,0,1,5,1,4359
burger,2NCTIET,0,2,5,1,4263
burger,2NCTIET,0,3,-5,1,4404
burger,2NCTIET,0,4,-5,1,3701
burger,2NCTIET,1,0,2,1,6777
burger,2NCTIET,1,1,-1,1,3102
burger,2NCTIET,1,2,-2,1,2750
burger,2NCTIET,1,3,-3,1,2926
burger,2NCTIET,1,4,2,1,3077
burger,2NCTIET,2,0,-4,1,5295
burger,2NCTIET,2,1,5,1,3397
burger,2NCTIET,2,2,5,1,3299
burger,2NCTIET,2,3,6,1,3310
burger,2NCTIET,2,4,-5,2,7552
burger,2NCTIET,3,0,9,1,6945
burger,2NCTIET,3,1,8,1,3661
burger,2NCTIET,3,2,-7,1,3561
burger,2NCTIET,3,3,-8,1,3677
burger,2NCTIET,3,4,-8,1,3147
burger,2NCTIET,4,0,-11,1,6041
burger,2NCTIET,4,1,-11,1,3614
burger,2NCTIET,4,2,10,1,4880
burger,2NCTIET,4,3,-12,1,2921
burger,2NCTIET,4,4,11,1,3159
burger,2NCTIET,5,0,14,1,6929
burger,2NCTIET,5,1,-15,1,4325
burger,2NCTIET,5,2,-14,1,4472
burger,2NCTIET,5,3,13,1,4196
burger,2NCTIET,5,4,-14,1,4998
swipe,302J6FO,0,0,-5,6,18366
swipe,302J6FO,0,1,5,5,4466
swipe,302J6FO,0,2,5,5,4349
swipe,302J6FO,0,3,-5,5,3863
swipe,302J6FO,0,4,-5,7,6750
swipe,302J6FO,1,0,2,2,2975
swipe,302J6FO,1,1,-1,1,1566
swipe,302J6FO,1,2,-2,2,1710
swipe,302J6FO,1,3,-3,3,3026
