navigation,pid,tid,qid,result
swipe,72FFTI,0,1,1
swipe,72FFTI,1,0,7
swipe,72FFTI,1,1,1
swipe,72FFTI,2,0,6
swipe,72FFTI,2,1,4
swipe,72FFTI,3,0,6
swipe,72FFTI,3,1,2
swipe,72FFTI,4,0,6
swipe,72FFTI,4,1,3
swipe,72FFTI,5,0,6
swipe,72FFTI,5,1,3
burger,F9ICJS,0,0,7
burger,F9ICJS,0,1,6
burger,F9ICJS,1,0,7
burger,F9ICJS,1,1,7
burger,F9ICJS,2,0,7
burger,F9ICJS,2,1,7
burger,F9ICJS,3,0,5
burger,F9ICJS,3,1,4
burger,F9ICJS,4,0,6
burger,F9ICJS,4,1,6
burger,F9ICJS,5,0,6
burger,F9ICJS,5,1,6
burger,20EJ1N9,0,0,7
burger,20EJ1N9,0,1,1
burger,20EJ1N9,1,0,7
burger,20EJ1N9,1,1,1
burger,20EJ1N9,2,0,7
burger,20EJ1N9,2,1,1
burger,20EJ1N9,3,0,7
burger,20EJ1N9,3,1,1
burger,20EJ1N9,4,0,7
burger,20EJ1N9,4,1,1
burger,20EJ1N9,5,0,7
burger,20EJ1N9,5,1,1
swipe,1AI5CFN,0,0,7
swipe,1AI5CFN,0,1,1
swipe,1AI5CFN,1,0,7
swipe,1AI5CFN,1,1,1
swipe,1AI5CFN,2,0,7
swipe,1AI5CFN,2,1,1
swipe,1AI5CFN,3,0,6
swipe,1AI5CFN,3,1,1
swipe,1AI5CFN,4,0,6
swipe,1AI5CFN,4,1,1
swipe,1AI5CFN,5,0,7
swipe,1AI5CFN,5,1,1
